"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
4.78,-42.7923318144408,1.67223694334575
4.79,-42.8252802441902,1.47440733381237
4.8,-42.8582261775961,1.27659776584261
4.81,-42.8911681779264,1.07880830398482
4.82,-42.924104788956,0.881039011626429
4.83,-42.9570345398336,0.683289950280605
4.84,-42.9899559407301,0.485561180558394
4.85,-43.0228674877004,0.28785276097177
4.86,-43.055767659832,0.0901647491253535
4.87,-43.0886549157598,-0.107502799521248
4.88,-43.1215277025128,-0.305149830929556
4.89,-43.154384448459,-0.502776292598576
4.9,-43.1872235651513,-0.700382134053561
4.91,-43.2200434474945,-0.897967306468156
4.92,-43.252842475286,-1.09553176273988
4.93,-43.2856190104845,-1.2930754577794
4.94,-43.3183714004766,-1.49059834838328
4.95,-43.3510979744126,-1.68810039333295
4.96,-43.3837970473156,-1.8855815533326
4.97,-43.4164669181856,-2.08304179145626
4.98,-43.4491058694911,-2.28048107247655
4.99,-43.4817121684571,-2.47789936354312
5,-43.514284066186,-2.67529663397026
5.01,-43.5468197984567,-2.87267285564771
5.02,-43.5793175884177,-3.07002800239379
5.03,-43.6117756407538,3.01582325671144
5.04,-43.6441921472487,2.81851032852317
5.05,-43.6765652830941,2.6212185389329
5.06,-43.7088932140093,2.42394790417558
5.07,-43.741174084494,2.22669843798259
5.08,-43.7734060329871,2.02947015124773
5.09,-43.8055871761722,1.83226305258999
5.1,-43.8377156235704,1.63507714725891
5.11,-43.8697894702783,1.43791243836188
5.12,-43.9018067946702,1.24076892574822
5.13,-43.9337656691309,1.04364660665485
5.14,-43.9656641489274,0.846545475053453
5.15,-43.9975002767911,0.649465522257983
5.16,-44.0292720885157,0.452406736235207
5.17,-44.0609776057974,0.255369102199988
5.18,-44.0926148390682,0.05835260186562
5.19,-44.1241817883206,-0.138642786021172
5.2,-44.1556764467676,-0.335617086104827
5.21,-44.1870967930261,-0.532570326034541
5.22,-44.2184408008216,-0.729502537230632
5.23,-44.2497064309876,-0.926413754238602
5.24,-44.2808916407024,-1.12330401510341
5.25,-44.3119943760195,-1.32017336115928
5.26,-44.3430125774808,-1.5170218378135
5.27,-44.3739441750195,-1.71384949347511
5.28,-44.4047870977991,-1.9106563804121
5.29,-44.4355392639841,-2.10744255455718
5.3,-44.4661985907711,-2.30420807576685
5.31,-44.4967629871012,-2.50095300707981
5.32,-44.5272303601526,-2.69767741605434
5.33,-44.5575986111338,-2.89438137338512
5.34,-44.5878656416878,-3.09106495427356
5.35,-44.6180293488854,2.99545706987626
5.36,-44.6480876259802,2.79881400188078
5.37,-44.6780383676258,2.60219106204066
5.38,-44.7078794695681,2.40558815989032
5.39,-44.7376088240905,2.20900520046369
5.4,-44.767224325553,2.01244208477161
5.41,-44.7967238718748,1.81589870989476
5.42,-44.8261053617327,1.61937496875346
5.43,-44.8553666942156,1.42287075004586
5.44,-44.8845057753205,1.22638593827149
5.45,-44.9135205154678,1.02992041382393
5.46,-44.9424088286149,0.833474052634766
5.47,-44.9711686356308,0.637046726827258
5.48,-44.9997978635999,0.440638303580014
5.49,-45.0282944461461,0.244248646637147
5.5,-45.0566563273862,0.0478776146136366
5.51,-45.0848814603683,-0.148474937514817
5.52,-45.1129678037194,-0.344809159359285
5.53,-45.140913332501,-0.541125204894151
5.54,-45.1687160293932,-0.73742323246363
5.55,-45.19637389123,-0.933703404257974
5.56,-45.2238849270901,-1.12996588745594
5.57,-45.2512471605347,-1.32621085315651
5.58,-45.278458629343,-1.52243847670039
5.59,-45.305517388055,-1.71864893795404
5.6,-45.3324215082923,-1.91484242104212
5.61,-45.359169075441,-2.11101911411395
5.62,-45.3857581972388,-2.30717920982214
5.63,-45.4121869998111,-2.50332290520079
5.64,-45.4384536266132,-2.6994504010834
5.65,-45.4645562454873,-2.89556190256588
5.66,-45.4904930432272,-3.09165761930374
5.67,-45.5162622328146,2.99544754248527
5.68,-45.541862045618,2.79938275082124
5.69,-45.5672907438961,2.60333309126166
5.7,-45.5925466081766,2.40729833811336
5.71,-45.6176279499745,2.2112782615055
5.72,-45.6425331059761,2.01527262789518
5.73,-45.6672604422702,1.81928119984496
5.74,-45.6918083487019,1.62330373602878
5.75,-45.7161752524416,1.42733999125641
5.76,-45.7403596054294,1.2313897166813
5.77,-45.7643598900677,1.03545265972291
5.78,-45.7881746249288,0.839528564344378
5.79,-45.811802357611,0.643617170574384
5.8,-45.8352416732644,0.447718215601173
5.81,-45.8584911863029,0.251831432754471
5.82,-45.8815495516435,0.055956551966443
5.83,-45.9044154544157,-0.139906699878375
5.84,-45.927087620936,-0.335758599064636
5.85,-45.9495648134632,-0.531599425210738
5.86,-45.9718458305365,-0.727429460536787
5.87,-45.993929513274,-0.923248990696859
5.88,-46.0158147380252,-1.11905830387261
5.89,-46.0375004221626,-1.31485769087773
5.9,-46.0589855276767,-1.51064744577993
5.91,-46.0802690514262,-1.70642786450425
5.92,-46.1013500366165,-1.90219924589821
5.93,-46.1222275693563,-2.09796189071226
5.94,-46.1429007753493,-2.29371610271403
5.95,-46.1633688263,-2.48946218720182
5.96,-46.1836309383496,-2.68520045189639
5.97,-46.2036863693517,-2.88093120600895
5.98,-46.2235344253879,-3.07665476097274
5.99,-46.2431744559344,3.01081387721841
6,-46.2626058593089,2.81510377964896
